expression,annotation
打开摄像头并开启美颜功能,"特定执行动作,特定应用功能,特定语义功能"
生成一段matlab代码，功能如下，输入为长度为2*N的数组，输出为z，功能未知；以上代码报错时，请修复,"大信息量理解,设置条件触发,可靠执行,特定语义功能,自主寻找,条件判断,信息处理,专业,生成"
我想听八卦,"语序语气理解,信息获取,信息处理,通用,生成"
安排我的日程，按照紧急-重要-紧急不重要-重要不紧急的顺序，告诉我今天需要在什么时间完成哪些工作,"抗冗余表达干扰,复杂逻辑理解,情境感知,个性化知识理解,设置条件触发,任务调度,特定执行动作,特定应用功能,特定语义功能,信息获取,条件判断,信息处理,信息存储与提取,通用"
举一个市场型环境政策， 并举例，500字以上,"口语化表达理解,信息获取,条件判断,信息处理,专业,生成"
打开微信和王小明说我出发了,"口语化表达理解,隐性步骤提取,特定应用功能,特定语义功能"
明天早上7点起床（设定闹钟）,"不确定目标理解,语序语气理解,语义揣测,设置条件触发,特定应用功能,自主寻找"
请帮我写一个朋友圈的caption，内容要和我去成都的旅游相关,"情境感知,个性化知识理解,语义揣测,特定应用功能,自主寻找,信息权限,信息处理,信息存储与提取,生成"
帮我设置一个明天早上7点的闹钟,"不确定方法理解,不确定目标理解,构建循环,任务调度,特定应用功能,信息处理,信息存储与提取"
我要千与千寻的钢琴谱,"不确定方法理解,特定语义功能,自主寻找,条件判断,信息存储与提取"
帮我下班打卡,"不确定方法理解,个性化知识理解,特定执行动作"
在互联网上查找并收集关于游泳世锦赛的信息,"自主寻找,条件判断,信息存储与提取,通用"
帮我修一下吉他的弦,"不确定目标理解,特定执行动作,特定语义功能"
我要这篇文章的主要内容：“xxx”,"定冠词指代理解,口语化表达理解,信息获取,信息处理,通用"
你是一位生物科学的博士，请帮我解析以上实验步骤：“xxx”,"虚拟语气理解,信息获取,信息分析,专业"
明天早上7点提醒我要带身份证,"不确定方法理解,个性化知识理解,设置条件触发,特定语义功能,信息权限,条件判断,信息存储与提取"
请帮我推荐一首拉丁爵士风格的歌曲,"个性化知识理解,特定语义功能,自主寻找,条件判断,偏好分析,专业"
整理一下我在3月15日~4月15日期间出错的题目,"信息获取,条件判断,信息存储与提取,专业"
如果你是一名码农，请检查这个代码是否存在错误,"定冠词指代理解,虚拟语气理解,信息权限,条件判断,信息处理,通用,专业"
查一下去深圳市的机票平台比价,"不确定目标理解,特定应用功能,特定语义功能,自主寻找,信息运算,条件判断,信息存储与提取"
根据我的愿望清单，帮我在steam购买打折超过50%的游戏,"个性化知识理解,特定应用功能,特定语义功能,自主寻找,信息权限,信息运算,条件判断,信息处理"
请打电话给塞缪尔,"不确定方法理解,特定应用功能,特定语义功能,自主寻找"
请为我推荐一些人比较少的但是性价比很高的旅游景区,"不确定方法理解,不确定目标理解,模糊范围程度理解,情境感知,个性化知识理解,自主寻找,偏好分析,信息存储与提取,通用"
帮我检查被实验小鼠咬伤的伤口,"情境感知,特定执行动作,特定语义功能,自主寻找,信息运算,条件判断,信息处理,信息存储与提取,识别与理解,专业"
请帮我打开最近拍摄的十张照片,"不确定目标理解,特定应用功能,特定语义功能,自主寻找,信息权限,条件判断"
最近摩托车有出什么新款吗？,"模糊范围程度理解,语序语气理解,自主寻找,条件判断"
这周末我想去杭州或者重庆玩，帮我分别拟一份行程并比较两地的特点,"模糊范围程度理解,情境感知,信息获取,条件判断,偏好分析,信息处理,信息存储与提取,生成"
打给我妈,"不确定方法理解,模糊指代理解,口语化表达理解,特定应用功能"
帮我定7月24日18点的闹钟并备注该吃饭啦,"口语化表达理解,特定应用功能,特定语义功能"
他这样说什么意思，我不想干活但也不想让他觉得我很消极，怎么回复,"句子成分缺失理解,抗冗余表达干扰,情境感知,信息获取,情感,生成"
锁屏并释放白噪音帮我专注,"非常规表达理解,抗冗余表达干扰,情境感知,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,自主寻找,信息运算,条件判断,信息存储与提取"
在刺客信条打折开始1小时后和打折结束1小时前通知我,"设置条件触发,隐性步骤提取,任务调度,特定执行动作,自主寻找,条件判断"
【打算做饭时】小度小度，帮我找到经典淮扬菜的菜谱,"不确定目标理解,情境感知,语义揣测,自主寻找,偏好分析"
美国法和中国法关于未成年人刑事责任问题的看法有什么不同,"自主寻找,条件判断,信息处理,专业"
打开最近文档里的ppt模板,"模糊范围程度理解,特定应用功能,特定语义功能,信息权限,条件判断,信息处理,信息存储与提取"
把这张照片的亮度调高，细节p一下,"定冠词指代理解,模糊表达理解,口语化表达理解,任务调度,特定应用功能,特定语义功能,信息获取,信息处理"
根据今天的天气帮我制定一份夜跑五公里计划,"情境感知,个性化知识理解,隐性步骤提取,任务调度,长任务,复杂任务,特定语义功能,自主寻找,条件判断,偏好分析,信息处理,信息存储与提取,专业,生成"
这是一段python代码，请帮我介绍每一句的具体功能，并对应转换成matlab,"定冠词指代理解,特定语义功能,信息获取,信息分析,信息存储与提取,专业,生成"
回复最新的微信消息：收到,"特定应用功能,信息处理,信息获取,信息存储与提取"
【在开车】累了，不想开车了（开启辅助驾驶）,"不确定方法理解,不确定目标理解,语序语气理解,抗冗余表达干扰,情境感知,语义揣测,隐性步骤提取,特定执行动作,长任务,特定语义功能,条件判断"
用学术的语言润色这段话：“xxx”,"语序语气理解,情境感知,通用,专业,生成"
【使用Excel时】请帮我将表格中的语文成绩数据以从大到小的顺序排在第一列,"特定应用功能,信息运算,条件判断,信息处理,信息存储与提取,通用"
对于多模态学习的应用的学术问题，是否同意我的看法，你的意见是什么,"情境感知,信息获取,条件判断,偏好分析,专业,生成"
打开微信，找到小马宝莉,"不确定目标理解,语义揣测,特定应用功能"
打开王者,"别名理解,特定执行动作,特定应用,特定语义功能"
【选中pdf中的一段文字】这些语句啥意思，为什么写在这里，还有别的同样功能的语句吗？,"定冠词指代理解,情境感知,特定语义功能,信息获取,条件判断,信息处理,信息存储与提取,专业,生成"
有点无聊，推荐点事情做一下,"抗冗余表达干扰,情境感知,个性化知识理解,隐性步骤提取,任务调度,信息获取,偏好分析,信息处理,通用,情感,生成"
帮我搜集一下三维重建领域的学术文章,"特定语义功能,自主寻找,信息运算,信息分析,信息存储与提取,专业"
最近有什么推荐的剧,"模糊范围程度理解,自主寻找,条件判断,偏好分析,信息存储与提取"
本月花呗账单是多少,"特定应用功能,信息权限,信息运算"
我明天要汇报AIGC主题的文献，告诉我需要从哪些方面进行汇报,"不确定目标理解,抗冗余表达干扰,情境感知,个性化知识理解,隐性步骤提取,特定语义功能,信息获取,信息运算,信息分析,信息存储与提取,专业,生成"
打开适合看书的轻音乐歌单,"情境感知,个性化知识理解,特定应用功能,信息获取,条件判断,信息存储与提取"
【在使用闲鱼浏览某商品时】对比市场价格,"特定应用,自主寻找,信息运算,条件判断,偏好分析,信息处理"
推荐有关企业创业史的相关文章,"自主寻找,条件判断,信息存储与提取,通用"
打开车载导航,"特定执行器件,特定应用功能"
帮我收拾宿舍,"不确定方法理解,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,信息获取,条件判断,信息存储与提取,通用"
【在车上】我要避开收费站（选择非高速路线）,"不确定目标理解,口语化表达理解,情境感知,个性化知识理解,语义揣测,隐性步骤提取,自主寻找,条件判断,信息存储与提取"
接下来两个小时的安排,"不确定方法理解,个性化知识理解,长任务,信息权限,条件判断,信息存储与提取"
播放豆瓣评分最高的电影,"隐性步骤提取,特定应用功能,特定语义功能,自主寻找,条件判断,信息处理,信息存储与提取"
请根据我的期末考日程，帮我安排复习计划,"情境感知,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,长任务,复杂任务,信息权限,条件判断,信息存储与提取,专业,生成"
请帮我打开录音机和文字转录，开始记录,"抗冗余表达干扰,特定执行动作,可靠执行,特定应用功能,特定语义功能,信息处理,信息存储与提取"
请推荐一些好玩的单机小游戏,"特定语义功能,信息获取,条件判断,偏好分析,通用"
请帮我搜集整理与深度学习相关的英文文献并进行整理,"特定语义功能,自主寻找,条件判断,信息处理,信息存储与提取,专业"
运动的时候适合听什么音乐,"不确定目标理解,信息获取,条件判断,偏好分析,信息处理,通用"
把桌子上的充电宝拿给我,"特定执行动作,信息获取"
单曲循环我这一周最爱听的歌,"句子成分缺失理解,个性化知识理解,特定语义功能,信息获取,信息运算,偏好分析,信息存储与提取"
请帮我打开小红书搜索最近的娱乐八卦,"模糊范围程度理解,非常规表达理解,特定应用功能,特定语义功能,自主寻找,条件判断"
开启同声传译,"语序语气理解,情境感知,特定执行动作,特定应用功能,设备联通"
明天适合出去玩吗，推荐去哪玩,"不确定方法理解,不确定目标理解,情境感知,个性化知识理解,特定语义功能,自主寻找,条件判断,偏好分析,信息处理,通用"
给妈妈打电话,"不确定方法理解,别名理解,个性化知识理解,特定应用功能,特定语义功能,通用"
给我讲个故事,"情境感知,个性化知识理解,偏好分析,生成"
请帮我读出最新的消息,"不确定目标理解,特定执行动作,自主寻找,信息权限,条件判断,信息存储与提取"
帮我在微信中向张神发送日程信息并计入我的日程提醒,"别名理解,缺失限定语理解,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,特定应用功能,特定语义功能,信息获取,信息分析,信息存储与提取"
帮我搜索清华大学人机交互实验室关键词相关文献及公众号文章信息，并整理到人机交互文件夹,"大信息量理解,复杂任务,特定应用功能,特定语义功能,自主寻找,信息权限,设备联通,信息运算,信息分析,信息存储与提取"
请帮我设置15天后去夏威夷开学术会议日程,"不确定目标理解,模糊范围程度理解,语序语气理解,句子成分缺失理解,特定应用功能,信息获取,条件判断,信息存储与提取"
你看一下我网络学堂的各门课作业，帮我计划一下写作业的日程，写完了帮我交一下,"不确定方法理解,不确定目标理解,口语化表达理解,复杂逻辑理解,个性化知识理解,任务调度,长任务,复杂任务,特定应用功能,信息权限,信息处理,信息存储与提取,通用,专业"
目标地点附近车多不多（打开地图搜索地点查看拥堵水平）,"不确定方法理解,不确定目标理解,模糊范围程度理解,情境感知,语义揣测,特定语义功能,信息获取,条件判断,偏好分析,信息处理"
帮我记录日程，并安排会议时间,"语序语气理解,句子成分缺失理解,情境感知,构建循环,隐性步骤提取,任务调度,特定语义功能,信息获取,条件判断,信息处理,信息存储与提取,通用,生成,执行"
把文字变成图片进行表达,"不确定方法理解,模糊指代理解,识别与理解,通用,生成"
我要周杰伦的吉他谱,"不确定方法理解,不确定目标理解,高级智能理解,特定应用功能,特定语义功能,自主寻找,条件判断,专业"
请帮我决定中午点什么外卖，要养生一点，并送到我的工位,"不确定方法理解,不确定目标理解,模糊范围程度理解,模糊指代理解,情境感知,个性化知识理解,语义揣测,隐性步骤提取,任务调度,特定执行动作,可靠执行,特定语义功能,信息权限,偏好分析,信息存储与提取,通用"
查一下有关提升沟通技巧的方法,"不确定方法理解,情境感知,特定语义功能,自主寻找,条件判断,信息处理,信息存储与提取,通用"
帮我查一下未来一周上海的天气,"不确定目标理解,特定应用功能,特定语义功能,自主寻找,条件判断,信息处理"
拿些消毒的药帮我处理一下伤口,"不确定目标理解,模糊指代理解,口语化表达理解,特定执行动作,可靠执行,信息获取,信息处理,信息存储与提取"
帮我整理一下工作台,"不确定目标理解,个性化知识理解,隐性步骤提取,特定执行动作,特定语义功能,信息获取,信息处理"
帮我把洗完的衣服从烘干机拿出来并在衣柜里挂上,"任务调度,特定执行动作,设备联通,条件判断,识别与理解"
帮我搜一下光伏相关的文献，核心期刊的,"模糊范围程度理解,口语化表达理解,特定语义功能,自主寻找,条件判断,专业"
导航至电影院,"模糊指代理解,情境感知,个性化知识理解,特定执行动作,特定应用功能,特定语义功能,信息获取"
查一下附近的酒店价格和距离,"自主寻找,信息运算,条件判断,信息处理,通用"
【在一篇公众号文章界面】针对这个话题，你有哪些学术创意？,"自主寻找,条件判断,信息处理,识别与理解,专业,生成"
请给出优化ppt的方法,"不确定目标理解,情境感知,信息获取,信息运算,信息分析,信息存储与提取,专业,生成"
帮我给我妈打个电话,"模糊指代理解,个性化知识理解,特定应用功能,特定语义功能"
如果你是一名秘书，请将接下来的会议内容提取要点，缩减至1000字以内,"不确定目标理解,缺失限定语理解,虚拟语气理解,抗冗余表达干扰,情境感知,隐性步骤提取,信息获取,信息分析,信息存储与提取,通用"
hi Siri，打开微信,特定应用功能
"请帮我翻译学术名词""xxx""","自主寻找,信息分析,信息存储与提取,专业"
查找清华大学到北京大学的路线,"不确定目标理解,特定应用功能,特定语义功能,自主寻找,条件判断,信息处理"
请为我推荐最近新上的优质电影,"个性化知识理解,自主寻找,条件判断,偏好分析,信息处理,通用"
【浏览照片时】帮我P一下这张图,"情境感知,特定应用功能,自主寻找,信息权限,信息处理,识别与理解,专业"
帮我查查最近这些网购平台有没有优惠活动,"定冠词指代理解,特定应用功能,自主寻找,条件判断,偏好分析,信息处理,信息存储与提取,通用"
请以更学术的方式表达下面这段话的意思：“xxx”,"语序语气理解,信息分析,专业,生成"
帮我查查这个案例涉及到的相关的法律条例,"自主寻找,信息权限,条件判断,信息处理,信息存储与提取,识别与理解,专业"
hey，siri，最近有什么比较奇葩的社会新闻吗？,"口语化表达理解,自主寻找,偏好分析"
请帮我设置一天热量摄取不超过2000卡路里，超过后进行提醒,"模糊范围程度理解,个性化知识理解,设置条件触发,隐性步骤提取,任务调度,特定应用功能,信息权限,条件判断,信息存储与提取,专业"
【对一张图片】帮我P图,"不确定目标理解,模糊指代理解,特定应用功能,识别与理解,通用,专业"
请帮我润色并翻译以下段落，要求重复率不高于20%：“xxx”,"自主寻找,信息运算,信息存储与提取,通用,生成"
我明晚要开部门会，帮我安排一下（定时间地点、联系开会人、写会议流程）,"口语化表达理解,个性化知识理解,语义揣测,隐性步骤提取,任务调度,长任务,特定语义功能,信息获取,信息处理,信息存储与提取,生成"
出门后打扫客厅,"不确定方法理解,不确定目标理解,情境感知,设置条件触发,隐性步骤提取,特定执行动作,可靠执行,智能"
提醒我回复张小红微信消息,"不确定目标理解,情境感知,设置条件触发,特定应用功能,特定语义功能"
搜索最新一期管理世界,"特定语义功能,自主寻找,条件判断"
查找去大理的旅游攻略,"口语化表达理解,情境感知,特定语义功能,自主寻找,信息处理,信息存储与提取,通用"
打开抖音，刷到末日文视频，我要睡觉啦,"语义揣测,设置条件触发,特定应用功能,特定语义功能,自主寻找,条件判断,信息处理,信息存储与提取"
搜索去潭柘寺的路线,"非常规表达理解,特定语义功能,自主寻找,信息处理"
小度小度，请调到舒适模式,"语序语气理解,特定应用功能"
请帮我读所有未读消息并进行回复，重要的进行标记,"不确定目标理解,任务调度,特定执行动作,长任务,特定应用功能,信息权限,信息运算,条件判断,偏好分析,信息存储与提取,识别与理解"
回一下导师的消息说最新版本的项目书今晚发给他,"不确定方法理解,别名理解,抗冗余表达干扰,可靠执行,信息获取,信息处理,信息存储与提取"
帮我提一些关于烹饪的创新想法,"不确定目标理解,模糊范围程度理解,情境感知,特定语义功能,自主寻找,偏好分析,信息存储与提取,通用,生成"
我要出门了，5点钟到家，把被套换洗一下烘干，换上新买的那套,"不确定目标理解,模糊指代理解,语序语气理解,抗冗余表达干扰,个性化知识理解,任务调度,特定执行动作,长任务,特定语义功能,信息获取,信息分析,信息存储与提取"
给我讲清楚这篇文献在说什么,"定冠词指代理解,口语化表达理解,自主寻找,条件判断,信息处理,专业,生成"
按照Lancet的风格，润色这篇文章,"信息获取,信息处理,信息存储与提取,专业,生成"
【在卧室】打开空调，设置空调为26度,"情境感知,特定执行动作,特定语义功能"
选择最优选的去八大处的路线,"不确定方法理解,不确定目标理解,自主寻找,条件判断,偏好分析,信息处理"
你是股份回购领域的专家，请你用通俗、简洁的语言向一位初学者介绍事件验证法的概念与要点,"虚拟语气理解,信息获取,信息运算,条件判断,信息处理,专业,生成"
哪家咖啡适合我？,"情境感知,个性化知识理解,特定应用功能,特定语义功能,自主寻找,条件判断,偏好分析,信息处理,信息存储与提取"
帮我把往年题文档里的高数问题按照知识点进行分类整理,"信息权限,条件判断,信息处理,信息存储与提取,识别与理解,专业"
最近LV店有什么新品推出吗,"自主寻找,条件判断"
请帮我看看门口是谁,"口语化表达理解,情境感知,特定语义功能,自主寻找,信息权限,设备联通,信息处理,识别与理解"
你帮我整理一下这几篇文献,"省略信息理解,定冠词指代理解,自主寻找,信息分析,信息存储与提取,识别与理解,通用,专业"
用鲁迅的风格改写这段小说：“xxx”,"定冠词指代理解,信息处理,通用,生成"
hey，siri，帮我调研一下股份回购相关知识,"自主寻找,信息权限,信息处理,通用"
【选中一个单词】这个单词是什么意思，怎么读,"不确定方法理解,定冠词指代理解,特定应用功能,特定语义功能,自主寻找,条件判断,通用"
请问这题应该怎么做，这么做有什么问题吗,"省略信息理解,定冠词指代理解,非常规表达理解,语序语气理解,句子成分缺失理解,个性化知识理解,信息权限,条件判断,识别与理解,专业"
养老金的计算方式,"语序语气理解,语义揣测,自主寻找,条件判断,信息处理"
我要听抒情歌,"不确定方法理解,情境感知,个性化知识理解,语义揣测,特定执行动作,特定应用功能,特定语义功能,信息获取,条件判断"
【在线上参会】我去上厕所，帮我记一下，有人叫我就震动手环,"模糊表达理解,语序语气理解,抗冗余表达干扰,情境感知,个性化知识理解,语义揣测,设置条件触发,隐性步骤提取,任务调度,特定执行动作,特定应用功能,特定语义功能,设备联通,信息存储与提取"
你看看我这学期哪几门课有小组作业，提前分一下工，排好时间线和每个阶段的日程,"省略信息理解,复杂指令理解,个性化知识理解,特定语义功能,信息获取,信息运算,条件判断,信息处理,信息存储与提取,通用"
请帮我去买感冒药，帮助我快点好能参加明天的考试,"不确定目标理解,倒装语序理解,句子成分缺失理解,抗冗余表达干扰,情境感知,个性化知识理解,任务调度,长任务,复杂任务,特定语义功能,信息权限,条件判断,信息存储与提取,通用,专业,生成"
你了解新能源领域吗？我想写一篇关于这个的文献综述，你能给点建议吗？,"抗冗余表达干扰,自主寻找,条件判断,信息处理,信息存储与提取,专业,生成"
请帮我选择一条最近的道路,"不确定目标理解,情境感知,隐性步骤提取,任务调度,特定执行动作,特定应用功能,特定语义功能,信息权限,信息分析"
告诉我附近有哪些好玩的景点,"口语化表达理解,情境感知,自主寻找,条件判断,偏好分析,信息处理,信息存储与提取"
"打开微信,给梅老师打电话","别名理解,特定应用功能"
帮我推荐一首歌,"不确定目标理解,情境感知,个性化知识理解,特定语义功能,信息获取,条件判断,偏好分析,信息处理,信息存储与提取,情感,生成"
请问我今天有什么安排？,"个性化知识理解,自主寻找,信息权限,条件判断,信息存储与提取"
打开B站，继续播放昨天没看完的番,"不确定目标理解,个性化知识理解,特定执行动作,特定应用功能,特定语义功能,信息获取,条件判断,信息存储与提取"
把衣服晾干并且明天收起来,"不确定方法理解,模糊范围程度理解,设置条件触发,构建循环,任务调度,特定执行动作,操作,通用"
【在腾讯会议中】帮我记录此次会议重要内容,"定冠词指代理解,特定应用功能,信息权限,条件判断,信息存储与提取,通用"
查一下明天的课表和上课地点,"缺失限定语理解,个性化知识理解,自主寻找,信息权限,条件判断,信息存储与提取"
请帮我记录生活中有趣美好的小事，并在每天晚上回放给我,"模糊范围程度理解,口语化表达理解,情境感知,个性化知识理解,构建循环,隐性步骤提取,特定执行动作,长任务,复杂任务,特定语义功能,自主寻找,偏好分析,信息存储与提取,通用,情感,生成"
我今天有点不舒服，请评价我是否生病，是否需要看医生,"不确定目标理解,抗冗余表达干扰,情境感知,信息权限,条件判断,信息处理,专业"
线上会议你听一下哈，感觉要cue我了就提醒我哈，我先睡了,"非常规表达理解,语序语气理解,句子成分缺失理解,抗冗余表达干扰,复杂逻辑理解,情境感知,语义揣测,设置条件触发,任务调度,长任务,特定应用功能,特定语义功能,自主寻找,条件判断,信息存储与提取,识别与理解"
"帮我润色一下这段对于实验结果的描述:""xxx""","定冠词指代理解,情境感知,自主寻找,信息处理,通用,生成"
请给出与NLP相关的10篇重要文献，要求被引用量大于100,"不确定方法理解,自主寻找,条件判断,信息处理,专业"
今天有没有娱乐方面的热搜，给我读一下,"特定执行动作,自主寻找,信息权限,条件判断,偏好分析,信息处理,信息存储与提取"
请帮我拨通电话给刘小昂,"非常规表达理解,高级智能理解,特定执行动作,特定应用功能,操作,信息获取"
算一下es本赛季能进决赛的概率,"信息获取,信息运算,条件判断,信息处理,通用"
明天的天气如何，是否适合打羽毛球,"特定语义功能,自主寻找,信息权限,条件判断,信息处理"
最近内蒙古适合避暑吗,"模糊范围程度理解,自主寻找,条件判断,生成"
【在照片编辑页面】曝光和饱和度调高一点,"情境感知,个性化知识理解,特定应用功能,特定语义功能,专业"
分析一下版本各分路强势英雄,"模糊指代理解,个性化知识理解,自主寻找,条件判断,信息处理,通用,专业"
把空调温度调到26度，模式改为抽湿模式,"不确定方法理解,不确定目标理解,非常规表达理解,特定执行动作,长任务,特定语义功能,信息处理"
附近都有谁在出租房子？最好是个人出租，不要中介，如果有图片视频一起传我，硬性要求是3000以下，独立房间，不要厨隔厅隔,"不确定方法理解,不确定目标理解,模糊范围程度理解,模糊指代理解,抗冗余表达干扰,复杂逻辑理解,大信息量理解,个性化知识理解,特定语义功能,自主寻找,信息权限,条件判断,信息存储与提取"
请帮我查一下费马小定理,"特定语义功能,自主寻找,条件判断"
打开空调，把空调调到26度,"特定执行动作,特定语义功能"
下载《唐吉坷德》电子书导入微信读书,"复杂任务,特定应用功能,特定语义功能,自主寻找,信息权限,信息处理,信息存储与提取"
设置闹钟为12点,"不确定目标理解,口语化表达理解,特定执行动作,特定应用功能,信息存储与提取"
请帮我推荐一些讲述创业成功人士的经历的文章,"自主寻找,条件判断,信息处理"
点一杯拿铁,"不确定方法理解,不确定目标理解,情境感知,个性化知识理解,特定执行动作,特定语义功能"
请帮我将线上会议进行自动录制，在会议结束后自动音译成文档，并总结会议内容,"缺失限定语理解,大信息量理解,情境感知,设置条件触发,任务调度,长任务,复杂任务,特定应用功能,特定语义功能,信息获取,信息分析,信息存储与提取,识别与理解,通用,生成"
打开Thenyoung十月up主的最新视频,"隐性步骤提取,特定应用功能,特定语义功能,信息获取,条件判断"
找个不去开组会的恰当理由发给导师,"模糊指代理解,情境感知,个性化知识理解,信息获取,信息分析,生成"
请帮我调研生物冷冻电镜领域，告诉我诺奖级别的新idea，并且帮我设计实验,"自主寻找,信息分析,信息存储与提取,通用,专业,生成"
打开游戏交流群或贴吧，自动搜集一些大神的观点和策略以邮件的方式发给自己,"理解,任务调度,特定应用功能,特定语义功能,自主寻找,信息权限,信息运算,信息分析,信息存储与提取,识别与理解,专业,生成,执行"
导航去天坛,"特定应用功能,特定语义功能,信息获取,信息处理,信息存储与提取"
【打开一个pdf】请帮我看这篇论文，并做一页总结ppt,"定冠词指代理解,隐性步骤提取,任务调度,特定执行动作,可靠执行,特定应用功能,特定语义功能,信息获取,信息处理,信息存储与提取,识别与理解,通用,生成"
请帮我将以下内容以PPT的形式导出,"特定应用功能,特定语义功能,信息获取,信息处理,信息存储与提取,通用"
文明用语骂一下只会送头的队友,"模糊指代理解,口语化表达理解,个性化知识理解,偏好分析,情感,生成"
我今天感觉有点压力，给我一些正面的心理反馈,"情境感知,个性化知识理解,信息获取,信息处理,信息存储与提取,情感,生成"
看一下冰箱里有什么食材能做什么菜，找个菜谱,"不确定方法理解,特定语义功能,自主寻找,信息权限,设备联通,条件判断,偏好分析,信息处理,信息存储与提取"
我要三千块预算以内性价比最高的上海旅游攻略,"不确定方法理解,模糊范围程度理解,语义揣测,特定语义功能,自主寻找,信息运算,条件判断,信息处理,信息存储与提取,通用"
我要结账了（打开付款码）,"口语化表达理解,个性化知识理解,语义揣测,隐性步骤提取,特定应用功能,特定语义功能"
请播放一首我爱听的类型的歌曲,"模糊指代理解,情境感知,个性化知识理解,语义揣测,特定执行动作,特定应用功能,特定语义功能,信息获取,信息分析"
明天零点给小陈发生日祝福并发一个500元转账,"不确定方法理解,别名理解,复杂指令理解,设置条件触发,隐性步骤提取,特定应用功能,特定语义功能,信息权限,条件判断,信息存储与提取,生成"
提醒我早点入睡,"不确定方法理解,模糊范围程度理解,语序语气理解,句子成分缺失理解,情境感知,特定应用功能,特定语义功能,通用"
播放我感兴趣的视频,"不确定方法理解,特定执行动作,特定语义功能,信息获取,信息运算,偏好分析,智能"
在小红书上找一下上海旅游攻略,"自主寻找,特定应用功能,特定应用,特定语义功能"
连一下校园网后更新游戏,"模糊指代理解,个性化知识理解,设置条件触发,任务调度,特定应用功能,特定语义功能,信息权限,设备联通,条件判断,信息存储与提取"
想看喜剧片，找个电影投屏吧,"情境感知,个性化知识理解,隐性步骤提取,特定执行动作,特定语义功能,自主寻找,设备联通,条件判断,偏好分析"
帮我做一下旅游规划，尽量避开杭州市人流很多和经常堵车导致旅游体验感下降的地方,"复杂逻辑理解,个性化知识理解,隐性步骤提取,任务调度,长任务,复杂任务,特定语义功能,自主寻找,条件判断,偏好分析,信息处理,信息存储与提取,生成"
帮我报销上周出差的机票钱,"不确定目标理解,缺失限定语理解,个性化知识理解,特定语义功能,信息权限,条件判断,信息存储与提取"
我要开始打游戏（关闭消息提醒）,"不确定方法理解,不确定目标理解,模糊指代理解,语义揣测,隐性步骤提取,特定应用"
请为我推荐附近的美食,"情境感知,个性化知识理解,特定语义功能,自主寻找,信息运算,偏好分析,信息处理,通用"
打开车内空调,"特定执行动作,特定语义功能"
请帮我查询PTSD名词是什么意思,"特定语义功能,自主寻找,信息处理,信息存储与提取"
请打开抖音,"特定应用,特定语义功能"
定一个李佳琪美妆产品上架的提示闹钟,"模糊范围程度理解,设置条件触发,特定语义功能,信息获取,条件判断,信息存储与提取"
把我最近一周听的歌分享给我的朋友,"个性化知识理解,特定语义功能,自主寻找,信息处理,信息存储与提取"
天猫精灵，请播放最近流行的歌曲,"口语化表达理解,特定执行器件,特定应用功能,特定语义功能,自主寻找,信息运算,条件判断,信息处理,信息存储与提取,识别与理解"
找找附近评分高的甜品店,"模糊范围程度理解,情境感知,自主寻找,条件判断"
请为我推荐最近新上的热播电视剧,"个性化知识理解,自主寻找,条件判断,偏好分析,信息处理,通用"
打开腾讯会议并关闭摄像头,"特定执行动作,特定应用功能,特定执行器件"
【对着当前的文档】制作成表格,"语义揣测,特定执行器件,特定应用功能,特定语义功能,信息获取,信息处理,信息存储与提取,通用"
hey，siri，我上次小说看到哪了？帮我读一下,"缺失限定语理解,非常规表达理解,口语化表达理解,情境感知,个性化知识理解,特定应用功能,自主寻找,设备联通,信息处理,信息存储与提取"
天猫精灵，我要购买新的骨传导耳机,"不确定目标理解,个性化知识理解,语义揣测,特定语义功能,信息获取,偏好分析"
帮我把这个文档做成好看的ppt,"不确定目标理解,定冠词指代理解,特定应用功能,信息获取,信息运算,偏好分析,信息存储与提取,专业,生成"
你是一个美食家，请给我推荐一些理想的川菜馆,"不确定目标理解,虚拟语气理解,情境感知,个性化知识理解,特定语义功能,信息获取,条件判断,偏好分析,通用"
证明一下勾股定理,"信息运算,专业,生成"
帮我查一下乐高的新品并按价格排序,"模糊范围程度理解,特定语义功能,自主寻找,信息运算,条件判断,信息处理"
设置组会日程,"个性化知识理解,任务调度,可靠执行,特定语义功能,信息获取,信息处理,信息存储与提取"
请帮我播放跑步音乐,"不确定目标理解,模糊指代理解,个性化知识理解,特定执行动作,特定应用功能,特定语义功能,信息获取"
如果你是一个智能家居的设计师，你需要考虑到哪些用户体验因素，请尽可能全面而详细地回答,"虚拟语气理解,抗冗余表达干扰,情境感知,通用,专业,生成"
故宫明天的门票预约满了吗,"不确定方法理解,自主寻找,信息权限,条件判断"
切歌,"特定执行动作,特定应用功能,特定语义功能"
请列出国内适合穷游的地方,"不确定方法理解,个性化知识理解,自主寻找,条件判断,偏好分析,信息存储与提取"
我有什么重要的消息该回复,"不确定目标理解,模糊范围程度理解,个性化知识理解,自主寻找,信息权限,条件判断,偏好分析,信息存储与提取"
